scoring_id,scoring_timestamp,deployment_id,asset_revision,CRIM,ZN,INDUS,CHAS,RM,AGE,DIS,RAD,TAX,PTRATIO,Bk,LSTAT,NOX,$R-MEDV
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-13,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.094,12.5,7.87,0,5.889,39.0,5.451,5,311,15.2,1.255,15.71,0.526,21.34
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-14,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.63,0.0,8.14,0,5.949,61.8,4.707,4,307,21.0,1.26,8.26,0.485,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-15,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.638,0.0,8.14,0,6.096,84.5,4.462,4,307,21.0,1.246,10.26,0.62,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-16,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.627,0.0,8.14,0,5.834,56.5,4.499,4,307,21.0,1.259,8.47,0.38,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-17,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",1.054,0.0,8.14,0,5.935,29.3,4.499,4,307,21.0,1.252,6.58,0.514,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-18,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.784,0.0,8.14,0,5.99,81.7,4.258,4,307,21.0,1.252,14.67,0.638,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-19,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.803,0.0,8.14,0,5.456,36.6,3.796,4,307,21.0,1.168,11.69,0.498,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-20,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.726,0.0,8.14,0,5.727,69.5,3.796,4,307,21.0,1.255,11.28,0.405,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-21,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",1.252,0.0,8.14,0,5.57,98.1,3.798,4,307,21.0,1.244,21.02,0.553,15.6
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-22,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.852,0.0,8.14,0,5.965,89.2,4.012,4,307,21.0,1.256,13.83,0.394,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-23,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",1.232,0.0,8.14,0,6.142,91.7,3.977,4,307,21.0,1.26,18.72,0.683,17.3235294117647
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-24,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.988,0.0,8.14,0,5.813,100.0,4.095,4,307,21.0,1.258,19.88,0.518,15.6
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-25,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.75,0.0,8.14,0,5.924,94.1,4.4,4,307,21.0,1.258,16.3,0.459,17.3235294117647
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-26,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.841,0.0,8.14,0,5.599,85.7,4.455,4,307,21.0,1.181,16.51,0.603,17.3235294117647
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-27,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.672,0.0,8.14,0,5.813,90.3,4.682,4,307,21.0,1.244,14.81,0.516,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-28,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.956,0.0,8.14,0,6.047,88.8,4.453,4,307,21.0,1.183,17.28,0.622,17.3235294117647
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-29,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.773,0.0,8.14,0,6.495,94.4,4.455,4,307,21.0,1.253,12.8,0.591,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-30,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",1.002,0.0,8.14,0,6.674,87.3,4.239,4,307,21.0,1.247,11.98,0.588,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-31,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",1.131,0.0,8.14,0,5.713,94.1,4.233,4,307,21.0,1.23,22.6,0.315,15.6
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-32,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",1.355,0.0,8.14,0,6.072,100.0,4.175,4,307,21.0,1.244,13.04,0.573,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-33,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",1.388,0.0,8.14,0,5.95,82.0,3.99,4,307,21.0,1.112,27.71,0.683,10.9393939393939
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-34,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",1.152,0.0,8.14,0,5.701,95.0,3.787,4,307,21.0,1.229,18.35,0.374,17.3235294117647
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-35,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",1.613,0.0,8.14,0,6.096,96.9,3.76,4,307,21.0,1.128,20.34,0.575,15.6
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-36,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.064,0.0,5.96,0,5.933,68.2,3.36,5,279,19.2,1.26,9.68,0.496,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-37,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.097,0.0,5.96,0,5.841,61.4,3.378,5,279,19.2,1.244,11.41,0.413,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-38,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.08,0.0,5.96,0,5.85,41.5,3.934,5,279,19.2,1.26,8.77,0.454,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-39,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.175,0.0,5.96,0,5.966,30.2,3.847,5,279,19.2,1.257,10.13,0.459,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-40,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.028,75.0,2.95,0,6.595,21.8,5.401,3,252,18.3,1.259,4.32,0.471,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-41,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.034,75.0,2.95,0,7.024,15.8,5.401,3,252,18.3,1.259,1.98,0.448,31.444
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-42,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.127,0.0,6.91,0,6.77,2.9,5.721,3,233,17.9,1.251,4.84,0.419,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-43,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.141,0.0,6.91,0,6.169,6.6,5.721,3,233,17.9,1.249,5.81,0.523,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-44,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.159,0.0,6.91,0,6.211,6.5,5.721,3,233,17.9,1.258,7.44,0.434,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-45,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.123,0.0,6.91,0,6.069,40.0,5.721,3,233,17.9,1.254,9.55,0.625,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-46,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.171,0.0,6.91,0,5.682,33.8,5.1,3,233,17.9,1.26,10.21,0.562,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-47,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.188,0.0,6.91,0,5.786,33.3,5.1,3,233,17.9,1.26,14.15,0.356,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-48,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.229,0.0,6.91,0,6.03,85.5,5.689,3,233,17.9,1.257,18.8,0.556,17.3235294117647
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-49,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.254,0.0,6.91,0,5.399,95.3,5.87,3,233,17.9,1.26,30.81,0.471,15.6
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-50,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.22,0.0,6.91,0,5.602,62.0,6.088,3,233,17.9,1.26,16.2,0.497,21.34
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-51,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.089,21.0,5.64,0,5.963,45.7,6.815,4,243,16.8,1.259,13.45,0.454,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-52,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.043,21.0,5.64,0,6.115,63.0,6.815,4,243,16.8,1.258,9.43,0.436,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-53,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.054,21.0,5.64,0,6.511,21.1,6.815,4,243,16.8,1.26,5.28,0.218,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-54,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.05,21.0,5.64,0,5.998,21.4,6.815,4,243,16.8,1.26,8.43,0.488,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-55,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.014,75.0,4.0,0,5.888,47.6,7.32,3,469,21.1,1.26,14.8,0.308,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-56,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.013,90.0,1.22,0,7.249,21.9,8.697,5,226,17.9,1.259,4.81,0.413,31.444
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-57,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.021,85.0,0.74,0,6.383,35.7,9.188,2,313,17.3,1.26,5.77,0.425,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-58,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.014,100.0,1.32,0,6.816,40.5,8.325,5,256,15.1,1.257,3.95,0.43,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-59,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.154,25.0,5.13,0,6.145,29.2,7.815,8,284,19.7,1.255,6.86,0.374,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-60,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.103,25.0,5.13,0,5.927,47.2,6.932,8,284,19.7,1.26,9.22,0.473,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-61,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.149,25.0,5.13,0,5.741,66.2,7.225,8,284,19.7,1.259,13.15,0.322,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-62,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.172,25.0,5.13,0,5.966,93.4,6.819,8,284,19.7,1.245,14.44,0.501,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-63,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.11,25.0,5.13,0,6.456,67.8,7.226,8,284,19.7,1.26,6.73,0.494,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-64,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.127,25.0,5.13,0,6.762,43.4,7.981,8,284,19.7,1.259,9.5,0.572,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-65,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.02,17.5,1.38,0,7.104,59.5,9.223,3,216,18.6,1.257,8.05,0.566,31.444
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-66,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.036,80.0,3.37,0,6.29,17.8,6.612,4,337,16.1,1.26,4.67,0.422,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-67,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.044,80.0,3.37,0,5.787,31.1,6.612,4,337,16.1,1.26,10.24,0.474,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-68,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.058,12.5,6.07,0,5.878,21.4,6.498,4,345,18.9,1.26,8.1,0.364,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-69,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.136,12.5,6.07,0,5.594,36.8,6.498,4,345,18.9,1.26,13.09,0.408,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-70,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.128,12.5,6.07,0,5.885,33.0,6.498,4,345,18.9,1.26,8.79,0.567,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-71,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.088,0.0,10.81,0,6.417,6.6,5.287,4,305,19.2,1.25,6.72,0.483,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-72,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.159,0.0,10.81,0,5.961,17.5,5.287,4,305,19.2,1.244,9.88,0.313,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-73,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.092,0.0,10.81,0,6.065,7.8,5.287,4,305,19.2,1.255,5.52,0.453,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-74,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.195,0.0,10.81,0,6.245,6.2,5.287,4,305,19.2,1.244,7.54,0.376,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-75,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.079,0.0,12.83,0,6.273,6.0,4.252,5,398,18.7,1.258,6.78,0.437,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-76,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.095,0.0,12.83,0,6.286,45.0,4.503,5,398,18.7,1.249,8.94,0.497,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-77,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.102,0.0,12.83,0,6.279,74.5,4.052,5,398,18.7,1.241,11.97,0.38,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-78,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.087,0.0,12.83,0,6.14,45.8,4.09,5,398,18.7,1.252,10.27,0.434,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-79,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.056,0.0,12.83,0,6.232,53.7,5.014,5,398,18.7,1.252,12.34,0.522,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-80,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.084,0.0,12.83,0,5.874,36.6,4.503,5,398,18.7,1.259,9.1,0.445,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-81,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.041,25.0,4.86,0,6.727,33.5,5.401,4,281,19.0,1.26,5.29,0.412,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-82,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.045,25.0,4.86,0,6.619,70.4,5.401,4,281,19.0,1.259,7.22,0.319,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-83,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.037,25.0,4.86,0,6.302,32.2,5.401,4,281,19.0,1.26,6.72,0.453,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-84,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.036,25.0,4.86,0,6.167,46.7,5.401,4,281,19.0,1.255,7.51,0.529,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-85,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.051,0.0,4.49,0,6.389,48.0,4.779,3,247,18.5,1.26,9.62,0.262,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-86,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.057,0.0,4.49,0,6.63,56.1,4.438,3,247,18.5,1.256,6.53,0.332,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-87,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.052,0.0,4.49,0,6.015,45.1,4.427,3,247,18.5,1.259,12.86,0.516,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-88,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.072,0.0,4.49,0,6.121,56.8,3.748,3,247,18.5,1.259,8.44,0.589,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-89,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.057,0.0,3.41,0,7.007,86.3,3.422,2,270,17.8,1.26,5.5,0.328,31.444
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-90,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.053,0.0,3.41,0,7.079,63.1,3.414,2,270,17.8,1.259,5.7,0.576,31.444
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-91,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.047,0.0,3.41,0,6.417,66.1,3.092,2,270,17.8,1.256,8.81,0.419,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-92,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.039,0.0,3.41,0,6.405,73.9,3.092,2,270,17.8,1.257,8.2,0.193,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-93,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.042,28.0,15.04,0,6.442,53.6,3.666,4,270,18.2,1.258,8.16,0.511,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-94,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.029,28.0,15.04,0,6.211,28.9,3.666,4,270,18.2,1.26,6.21,0.333,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-95,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.043,28.0,15.04,0,6.249,77.3,3.615,4,270,18.2,1.26,10.59,0.552,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-96,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.122,0.0,2.89,0,6.625,57.8,3.495,2,276,18.0,1.228,6.65,0.293,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-97,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.115,0.0,2.89,0,6.163,69.6,3.495,2,276,18.0,1.256,11.34,0.485,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-98,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.121,0.0,2.89,0,8.069,76.0,3.495,2,276,18.0,1.26,4.21,0.358,44.8176470588235
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-99,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.082,0.0,2.89,0,7.82,36.9,3.495,2,276,18.0,1.257,3.57,0.381,44.8176470588235
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-100,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.069,0.0,2.89,0,7.416,62.5,3.495,2,276,18.0,1.26,6.19,0.34,31.444
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-101,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.149,0.0,8.56,0,6.727,79.9,2.778,5,384,20.9,1.258,9.42,0.43,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-102,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.114,0.0,8.56,0,6.781,71.3,2.856,5,384,20.9,1.259,7.67,0.394,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-103,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.229,0.0,8.56,0,6.405,85.4,2.715,5,384,20.9,0.896,10.63,0.616,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-104,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.212,0.0,8.56,0,6.137,87.4,2.715,5,384,20.9,1.258,13.44,0.468,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-105,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.14,0.0,8.56,0,6.167,90.0,2.421,5,384,20.9,1.257,12.33,0.634,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-106,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.133,0.0,8.56,0,5.851,96.7,2.107,5,384,20.9,1.258,16.47,0.391,17.3235294117647
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-107,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.171,0.0,8.56,0,5.836,91.9,2.211,5,384,20.9,1.259,18.66,0.499,17.3235294117647
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-108,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.131,0.0,8.56,0,6.127,85.2,2.122,5,384,20.9,1.253,14.09,0.467,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-109,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.128,0.0,8.56,0,6.474,97.1,2.433,5,384,20.9,1.259,12.27,0.323,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-110,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.264,0.0,8.56,0,6.229,91.2,2.545,5,384,20.9,1.256,15.55,0.582,17.3235294117647
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-111,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.108,0.0,8.56,0,6.195,54.4,2.778,5,384,20.9,1.257,13.0,0.449,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-112,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.101,0.0,10.01,0,6.715,81.6,2.678,6,432,17.8,1.259,10.16,0.298,22.5661538461539
e2d7c2ed-5a38-4588-a40f-7ee02b2cbeb7-113,2022-09-14T14:04:47.399+05:30,boston_house_prices_tutorial,"",0.123,0.0,10.01,0,5.913,92.9,2.353,6,432,17.8,1.258,16.21,0.546,17.3235294117647
