CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Scored Labels,Scored Probabilities,scoring_id,scoring_timestamp
0_to_200,14,credits_paid_to_date,car_new,12447,100_to_500,greater_7,2,male,none,3,real_estate,34,none,own,1,skilled,1,none,yes,No Risk,0.87|0.13,052c6c25-8b76-4db3-8c2f-8843be0d3269,04/11/20 7:38
less_0,25,prior_payments_delayed,car_used,489,greater_1000,greater_7,2,male,none,5,savings_insurance,44,bank,own,1,skilled,1,yes,yes,No Risk,0.57|0.43,89bdf096-5051-4ab8-9b55-1c42505e039d,04/11/20 7:38
0_to_200,16,credits_paid_to_date,radio_tv,9982,500_to_1000,1_to_4,2,male,none,3,real_estate,62,none_random,own,1,skilled,2,none,yes,No Risk,0.76|0.24,99c5ae97-dd9e-46a5-8e8f-4a24c196d218,04/11/20 7:38
less_0,4,outstanding_credit,appliances,7642,less_100,1_to_4,3,male,none,3,real_estate,48,none,own,1,skilled,1,yes,yes,No Risk,0.69|0.31,e9773e05-a403-4ca2-a967-7f753aa0668c,04/11/20 7:38
no_checking,17,all_credits_paid_back,car_new,1894,less_100,4_to_7,3,female,none,2,savings_insurance,40,stores,own,2,unskilled,1,yes,yes,No Risk,0.82|0.18,9f762ca6-099e-476f-9eaf-f4faed7b6d06,04/11/20 7:38
less_0,24,credits_paid_to_date,appliances,5641,500_to_1000,1_to_4,5,male,none,1,savings_insurance_random,47,none,rent,2,skilled,1,none,yes,No Risk,0.74|0.26,1b8fd3ae-0841-41a2-b4c1-f505f7dfe337,04/11/20 7:38
0_to_200,35,credits_paid_to_date,education,6358,500_to_1000,1_to_4,3,male,none,3,car_other,49,stores,own,2,skilled,1,none,yes,No Risk,0.65|0.35,388af684-2a69-48b5-b689-779a6896821d,04/11/20 7:38
no_checking,28,credits_paid_to_date,car_used,6521,500_to_1000,1_to_4,3,female,none,2,real_estate,37,stores,rent,1,unemployed,2,yes,yes,No Risk,0.67|0.33,e60f3a17-efc0-4fa9-a5e6-add898c0b02a,04/11/20 7:38
0_to_200,4,all_credits_paid_back,vacation,1858,less_100,greater_7,3,male,none,4,savings_insurance,45,none,rent,1,skilled,1,none,yes,No Risk,0.7|0.3,e4e5b0cf-93f4-48b6-bd7b-236609a5abac,04/11/20 7:38
no_checking,4,prior_payments_delayed,repairs,9122,less_100,greater_7,4,male,none,1,savings_insurance,46,stores,own,2,unemployed,1,none,yes,No Risk,0.59|0.41,e89c7a95-b92a-4507-bcc6-976ef3436de2,04/11/20 7:38
0_to_200,41,prior_payments_delayed,other,4215,greater_1000,1_to_4,2,male,none,1,savings_insurance,33,none,rent,2,skilled,1,yes,yes,No Risk,0.6|0.4,b44b2874-eae4-4205-9740-ec2de0f502f5,04/11/20 7:38
less_0,21,prior_payments_delayed,radio_tv,3482,less_100,unemployed,4,female,none,3,real_estate,45,none,own,2,unskilled,1,none,yes,No Risk,0.72|0.28,3f40adbc-6853-4108-b01e-452eedcb81b0,04/11/20 7:38
less_0,9,prior_payments_delayed,furniture,2869,100_to_500,less_1,5,male,none,3,savings_insurance,33,none,own,1,skilled,1,yes,yes,No Risk,0.7|0.3,2acf4f82-45d1-47ce-a28e-76bc6b6de445,04/11/20 7:38
less_0,18,credits_paid_to_date,radio_tv,12686,greater_1000,unemployed,4,male,none,4,real_estate,30,none,free,1,skilled,1,none_random,yes,No Risk,0.67|0.33,e2d9bc95-0378-4be2-8096-f3303056610a,04/11/20 7:38
0_to_200,9,credits_paid_to_date,vacation,5986,less_100,4_to_7,3,female,none,4,car_other,32,none,rent,1,skilled,1,yes,yes,No Risk,0.6|0.4,d789ed34-700a-46c5-aa71-44a8abc1e151,04/11/20 7:38
no_checking,29,credits_paid_to_date,radio_tv,1158,greater_1000,less_1,5,male,none,1,savings_insurance,28,bank,own,1,skilled,1,none,yes,No Risk,0.78|0.22,fef422a5-187f-4b30-ad40-8415045cfaa8,04/11/20 7:38
greater_200,21,prior_payments_delayed,furniture,1897,greater_1000,4_to_7,5,male,none,4,car_other,48,none,free,1,unskilled,1,yes,yes,No Risk,0.62|0.38,4638bf6d-5bc2-4811-8dad-ba02de26826b,04/11/20 7:38
0_to_200,16,prior_payments_delayed,car_used,3546,100_to_500,1_to_4,4,female,none,4,savings_insurance,36,none,own,1,skilled,1,yes,yes,No Risk,0.74|0.26,f2e17ecd-ef08-4843-ae63-ca01c27140f8,04/11/20 7:38
no_checking,9,all_credits_paid_back,appliances,2644,less_100,greater_7,2,male,none,5,savings_insurance,27,none,own,2,unemployed,1,none,yes,No Risk,0.75|0.25,8b7566dc-6e32-4cd1-9bf6-b957b536eb23,04/11/20 7:38
no_checking,25,outstanding_credit,vacation,7338,less_100,1_to_4,4,male,none,4,unknown,30,stores,free,1,skilled,1,yes,yes,Risk,0.48|0.52,5be6ca84-15a1-48ad-bdc3-233965852239,04/11/20 7:38
no_checking,20,prior_payments_delayed,car_new,9501,100_to_500,4_to_7,3,female,none,2,car_other,27,none,own,1,skilled,1,none,yes,No Risk,0.59|0.41,7fe37d70-0f35-4df6-9fdf-52069c3aa0b9,04/11/20 7:38
no_checking,26,outstanding_credit,car_new,-422,500_to_1000,greater_7,4,male,none,1,car_other,53,none,own,1,skilled,2,yes,yes,No Risk,0.59|0.41,27e03ac1-6d55-43af-934f-bcb9939dc65b,04/11/20 7:38
no_checking,39,credits_paid_to_date,car_new,1082,500_to_1000,unemployed,1,male,none,3,real_estate,52,none,rent,2,unskilled,1,none,yes,No Risk,0.7|0.3,5c59721e-8476-4b3c-a3f8-56b61ecb32a4,04/11/20 7:38
less_0,6,prior_payments_delayed,radio_tv,9374,greater_1000,less_1,3,female,co-applicant,3,car_other,20,none,rent,1,skilled,1,none,yes,No Risk,0.67|0.33,5e342b37-f3c3-4359-b47b-365c15b42de7,04/11/20 7:38
0_to_200,16,credits_paid_to_date,car_new,6177,100_to_500,1_to_4,2,female,none_random,2,real_estate,21,none,own,1,skilled,1,yes,yes,No Risk,0.8|0.2,bb5b4796-274b-402a-8ba9-4dbd0115a318,04/11/20 7:38
0_to_200,13,prior_payments_delayed,car_new,2989,500_to_1000,less_1,3,male,none,1,car_other,36,none,rent,2,skilled,1,none,yes,No Risk,0.76|0.24,d303c59c-32a3-426f-8393-2bfaf3c7e843,04/11/20 7:38
no_checking,30,credits_paid_to_date,radio_tv,6611,100_to_500,1_to_4,4,female,none,3,savings_insurance,48,stores,own,1,skilled,1,none,yes,No Risk,0.63|0.37,31581fdb-29a4-41ea-8086-21e87e991bdc,04/11/20 7:38
no_checking,4,all_credits_paid_back,education,6563,100_to_500,4_to_7,1,female,none,2,real_estate,51,none,own,1,skilled,1,yes,yes,No Risk,0.55|0.45,78cb7b91-510b-4fa1-9f91-06b0904f88ee,04/11/20 7:38
no_checking,9,outstanding_credit,radio_tv,7665,greater_1000,less_1,2,male,none,4,savings_insurance,32,none,rent,1,skilled,1,none,yes,No Risk,0.71|0.29,10af47d5-5bed-4b45-86e8-c3274d2e1d38,04/11/20 7:38
less_0,21,prior_payments_delayed,furniture,10966,greater_1000,4_to_7,2,male,none,3,unknown,44,none,free,3,skilled,1,none,yes,No Risk,0.66|0.34,fb785c6b-6fd3-4c33-8e0d-96fe2a9cfa14,04/11/20 7:38
no_checking,31,all_credits_paid_back,vacation,10053,greater_1000,less_1,3,female,none,4,savings_insurance,38,bank,own,2,skilled,1,yes,yes,No Risk,0.51|0.49,dadaf45a-e4f6-4d5a-9ddc-0b9a851f0ce5,04/11/20 7:38
less_0,24,prior_payments_delayed,car_used,2100,less_100,1_to_4,4,male,none,1,car_other,47,none,own,1,skilled,1,yes,yes,No Risk,0.65|0.35,28f19ff7-cd19-4c88-b452-6a53a32f0426,04/11/20 7:38
no_checking,30,credits_paid_to_date,furniture,7745,100_to_500,greater_7,3,female,none,2,car_other,19,none,rent,2,skilled,1,none,yes,Risk,0.47|0.53,70138a47-a267-4fac-aea2-aa303b1a1023,04/11/20 7:38
less_0,10,credits_paid_to_date,repairs,7626,less_100,4_to_7,5,male,none,3,savings_insurance,42,none,own,1,skilled,1,yes,yes,No Risk,0.61|0.39,9e149faf-05a5-48b6-a084-fc107566ef96,04/11/20 7:38
no_checking,29,outstanding_credit,appliances,174,unknown,1_to_4,3,female,none,3,real_estate,27,stores,rent,1,skilled,1,none,yes,No Risk,0.72|0.28,f63a40c5-35e6-4b5f-9dd2-a0694dbffe2d,04/11/20 7:38
0_to_200,25,prior_payments_delayed,other,4429,less_100,unemployed,4,male,none,5,unknown,19,none,rent,2,unskilled,1,yes,yes,No Risk,0.67|0.33,1428254f-201e-4725-b63f-7e43f9719bb5,04/11/20 7:38
no_checking,19,credits_paid_to_date,car_used,11637,100_to_500,1_to_4,2,female,none,4,car_other,47,none,own,1,skilled,1,none,yes,Risk,0.46|0.54,0474f5da-3e01-4394-bfc9-5f2d2bda7a03,04/11/20 7:38
0_to_200,8,all_credits_paid_back,radio_tv,7288,less_100,1_to_4,3,male,none,4,unknown,48,none,own,2,skilled,2,none,yes_random,No Risk,0.57|0.43,e0a14e1c-84d9-4ef3-b568-55f628912b6f,04/11/20 7:38
less_0,4,prior_payments_delayed,car_used,2965,less_100,4_to_7,3,male,none,4,savings_insurance,19,bank,own,1,skilled,1,yes,yes,No Risk,0.85|0.15,6f4a5af1-fb6c-4887-8288-f722b82d37e9,04/11/20 7:38
no_checking,29,prior_payments_delayed,business,118,500_to_1000,greater_7,4,male,none,4,savings_insurance,29,none,own,2,skilled,1,none,yes,No Risk,0.62|0.38,7bd85f22-84fd-4afd-a545-a36ccaf97da4,04/11/20 7:38
less_0,17,prior_payments_delayed,business,6361,500_to_1000,greater_7,4,female,none,1,savings_insurance,33,none,own,2,skilled,1,none,yes,No Risk,0.66|0.34,86b417e0-b204-45b5-bd98-f7bf77e418cd,04/11/20 7:38
0_to_200,32,prior_payments_delayed,repairs,6617,less_100,less_1,3,female,guarantor,2,real_estate,41,none,free,1,unskilled,1,none,yes,No Risk,0.69|0.31,e12069f6-cce1-4698-a905-2e08b92f7f5f,04/11/20 7:38
less_0,8,outstanding_credit,furniture,12562,unknown,1_to_4,4,male,none,4,car_other,32,stores,own,1,unskilled,1,yes,yes_random,No Risk,0.73|0.27,620bac1b-1899-483e-9cf5-350d9766e574,04/11/20 7:38
no_checking,4,outstanding_credit,car_new,11422,less_100,1_to_4,4,male,none,4,savings_insurance,31,none,own,1,skilled,1,yes,yes,No Risk,0.55|0.45,1141c439-33b0-495d-8627-af643928a1db,04/11/20 7:38
greater_200,43,all_credits_paid_back,appliances,-265,less_100,greater_7,4,male,none,4,real_estate,24,stores,own,1,management_self-employed,1,none,yes,No Risk,0.75|0.25,afd744c7-74ac-4467-8dfe-a274a95a001d,04/11/20 7:38
no_checking,35,outstanding_credit,car_new,12368,100_to_500,4_to_7,3,female,none,4,real_estate,36,none,free,2,unemployed,1,none,yes,Risk,0.47|0.53,b517fa5b-976d-4ea0-9d17-cf9397e3b5b6,04/11/20 7:38
less_0,34,all_credits_paid_back,car_new,886,500_to_1000,1_to_4,3,male,none,4,unknown,40,none,free,1,management_self-employed,2,none,yes,No Risk,0.63|0.37,6d9c6c78-ee32-4e77-8c2b-6ff3b74be55a,04/11/20 7:38
greater_200,16,outstanding_credit,car_used,4437,100_to_500,greater_7,2,male,co-applicant,1,savings_insurance,25,none,own,2,skilled,1,none,yes,No Risk,0.59|0.41,ca8e9ff8-8733-4b52-965d-651362e23d45,04/11/20 7:38
0_to_200,14,outstanding_credit,car_new,7673,100_to_500,less_1,5,female,none,3,unknown,48,none,own,1,skilled,1,yes,yes,Risk,0.42|0.58,cb55ab7c-83da-4625-85be-44e506ed20bf,04/11/20 7:38
no_checking_random,33,credits_paid_to_date,car_new,2472,less_100,unemployed,5,female,none,3,car_other,25,none,rent,2,unskilled,1,yes,yes,No Risk,0.55|0.45,3467b8a3-8719-4bbf-a650-f003d33fa6fc,04/11/20 7:38
no_checking,45,prior_payments_delayed,furniture,11195,100_to_500,greater_7,2,female,co-applicant,3,savings_insurance,27,none,own,1,management_self-employed,1,yes,yes,Risk,0.25|0.75,ca8f668e-f6e6-435c-bb99-0425fa43352b,04/11/20 7:38
less_0,52,credits_paid_to_date,appliances,1884,100_to_500,1_to_4,6,female,none,3,real_estate,24,stores,rent,1,unskilled,1,none,yes,No Risk,0.79|0.21,fd974c37-7d9b-4bf2-b1ca-8d7d9735cdba,04/11/20 7:38
0_to_200,4,prior_payments_delayed,car_new,7962,less_100,4_to_7,2,male,none,2,savings_insurance,21,none,rent,1,management_self-employed,1,none,yes,No Risk,0.67|0.33,05bbf582-6f85-47d9-80ee-c07b0df4dce0,04/11/20 7:38
less_0,23,credits_paid_to_date,radio_tv,-498,less_100,1_to_4,5,female,none,1,real_estate,36,none,free,1,management_self-employed,1,none,yes,No Risk,0.78|0.22,c0640026-f27c-411f-9489-6b04c7a00c3c,04/11/20 7:38
0_to_200,26,all_credits_paid_back,repairs,412,100_to_500,unemployed,4,female,none,1,car_other,30,none,own,2,skilled,1,none,yes,No Risk,0.85|0.15,947df95f-4a2b-4037-b548-358e968fb779,04/11/20 7:38
less_0,22,credits_paid_to_date,retraining,9945,500_to_1000,unemployed,2,male,none,2,savings_insurance,57,none,own,2,skilled,1,none,yes,No Risk,0.77|0.23,4335ed20-6724-43b5-a4e6-5adc1d598585,04/11/20 7:38
less_0,42,outstanding_credit,radio_tv,10311,unknown,4_to_7,3,female,none,2,real_estate,33,bank,own,1,skilled,1,none,yes,No Risk,0.68|0.32,454d19d1-7823-44cd-a380-7bacefb596c4,04/11/20 7:38
less_0,13,prior_payments_delayed,furniture,6444,100_to_500,unemployed,3,male,co-applicant,1,savings_insurance,35,none,rent,1,skilled,1,none,yes,No Risk,0.78|0.22,2bba9fc5-83f1-4aca-ae76-927e3b996fb3,04/11/20 7:38
0_to_200,43,all_credits_paid_back,furniture,11404,100_to_500,4_to_7,2,male,none,2,savings_insurance,54,stores,free,1,skilled,1,none,yes,No Risk,0.53|0.47,d33d87f7-cf53-4bca-ba88-8766d5caf1f0,04/11/20 7:38
less_0,36,outstanding_credit,car_new,11451,less_100,4_to_7,3,female,none,3,real_estate,55,none,own,2,skilled,1,none,yes,No Risk,0.57|0.43,aa0b50d0-3559-484b-9e59-e4c9079df0f2,04/11/20 7:38
less_0,41,credits_paid_to_date,repairs,7970,100_to_500,1_to_4,4,female,none_random,4,savings_insurance,38,bank,rent,2,management_self-employed,1,yes,yes,No Risk,0.59|0.41,a1f4a617-4fea-4412-8714-fb0bb471fb75,04/11/20 7:38
greater_200,9,prior_payments_delayed,vacation,7058,less_100,unemployed,3,female,none,2,car_other,28,bank,own,1,management_self-employed,1,yes,yes,No Risk,0.69|0.31,b349515b-55f3-4741-be47-b43114432a95,04/11/20 7:38
0_to_200,31,credits_paid_to_date,business,-14,less_100,1_to_4,2,female,none,3,savings_insurance,40,none,own,2,skilled,1,none,yes,No Risk,0.74|0.26,5f00425f-3594-4bf7-bf73-2d2a616946b8,04/11/20 7:38
no_checking,26,outstanding_credit,car_new,3137,100_to_500,greater_7,3,female,none,1,unknown,29,stores,own,1,skilled,1,none,yes,No Risk,0.57|0.43,d30f46e7-b63f-468d-8731-4aec96a8a2b6,04/11/20 7:38
less_0,10,outstanding_credit,car_new,8438,less_100,4_to_7,5,female,none,3,real_estate,28,bank,own,1,skilled,1,yes,yes,No Risk,0.8|0.2,9e8779ec-98bc-444e-bef6-deab114f060b,04/11/20 7:38
no_checking,4,credits_paid_to_date,appliances,-40,100_to_500,less_1,3,female,co-applicant,1,real_estate,50,bank,own,2,skilled,1,yes,yes,No Risk,0.79|0.21,1bccd22f-c91f-4f5b-84dd-45215bff79af,04/11/20 7:38
less_0,40,outstanding_credit,furniture,10304,greater_1000,4_to_7,4,male,co-applicant,2,car_other,37,stores,own,1,skilled,1,none,yes,No Risk,0.53|0.47,32b8c4d2-1c94-4281-b64d-c40328669b68,04/11/20 7:38
0_to_200,15,all_credits_paid_back,furniture,7550,greater_1000,1_to_4,2,female,none,2,real_estate,24,none,own,1,skilled,1,yes,yes,No Risk,0.82|0.18,4183f031-1d75-4307-9496-47bb35fcaa44,04/11/20 7:38
less_0,9,credits_paid_to_date,education,4303,100_to_500,less_1,3,male,none,2,real_estate,21,none,own_random,1,management_self-employed,1,none,yes,No Risk,0.95|0.05,f788831e-32f0-43b1-a908-5f45d00e1bd3,04/11/20 7:38
no_checking,4,credits_paid_to_date,car_used,9088,100_to_500,4_to_7,2,male,none,3,car_other,50,none,free,2,skilled,1,none,yes,No Risk,0.53|0.47,6631188e-eff5-463d-bf9e-a831e32e249b,04/11/20 7:38
no_checking,40,credits_paid_to_date,car_used,5111,100_to_500,1_to_4,5,male,none,4,car_other,26,none,rent,1,skilled,1,none,no,No Risk,0.65|0.35,faae18d4-1f20-40bd-8239-6332fe28ee21,04/11/20 7:38
greater_200,21,credits_paid_to_date,car_new,90,500_to_1000,1_to_4,4,female,co-applicant,1,unknown,33,none,own,2,management_self-employed,2,none,yes,No Risk,0.56|0.44,638beaf6-a542-42f7-ac0c-4ea081b45dbc,04/11/20 7:38
greater_200,9,all_credits_paid_back,vacation,12739,less_100,greater_7,2,male,none,3,car_other,36,none,own,2,skilled,1,yes,yes_random,No Risk,0.61|0.39,8976b97c-6695-4540-b7d3-e3a6bc616b30,04/11/20 7:38
less_0,20,credits_paid_to_date,vacation,10630,less_100,less_1,3,male,none,3,real_estate,30,none,own,2,skilled,1,yes,yes,No Risk,0.87|0.13,4c9a3993-1bb6-4cb1-9eb0-0094a5dcf87d,04/11/20 7:38
no_checking,12,outstanding_credit,car_used,4466,500_to_1000,greater_7,2,male,none,2,car_other,22,none,own,2,management_self-employed,1,none,yes,No Risk,0.59|0.41,1cafa51e-eeda-4108-90a1-71284c8a6628,04/11/20 7:38
less_0,16,prior_payments_delayed,education,7194,less_100,unemployed,1,male,none,3,unknown,19,none,own,1,skilled,1,yes,yes,No Risk,0.77|0.23,b1fc031a-7061-40a8-bf93-5bcdb37907bc,04/11/20 7:38
no_checking,8,prior_payments_delayed,vacation,-845,less_100,4_to_7,3,female,none,3,real_estate,58,none,own,2,skilled,1,none,yes,No Risk,0.72|0.28,5bbba2b9-929b-4c36-915f-292ad5615298,04/11/20 7:38
less_0,30,prior_payments_delayed,furniture,266,500_to_1000,greater_7,4,female,none,4,savings_insurance,43,bank,own,2,skilled,1,none,yes,Risk,0.47|0.53,cd9795ff-7dc9-4d3a-8d02-6eb431dafc37,04/11/20 7:38
0_to_200,4,prior_payments_delayed,business,31,500_to_1000,less_1,5,female,co-applicant,2,car_other,53,none,own,1,skilled,2,none,yes,No Risk,0.76|0.24,a2f9f46e-aa10-42db-9f12-412c8f2b0fae,04/11/20 7:38
less_0,20,outstanding_credit,car_new,4107,100_to_500,less_1,5,male,none,3,car_other,29,none,own,1,skilled,1,yes,yes,No Risk,0.78|0.22,3b2f9c47-6a5b-4419-a822-3ea9a2e4ba5e,04/11/20 7:38
greater_200,20,all_credits_paid_back,car_new,8869,500_to_1000,greater_7,4,male,none,5,car_other,30,none,own,1,skilled,1,none,yes,No Risk,0.69|0.31,d2b72666-7ec9-42bc-9d78-5097f7b3a6dd,04/11/20 7:38
less_0,6,prior_payments_delayed,retraining,12312,500_to_1000,unemployed,5,female,none,3,savings_insurance,25,none,own,1,skilled_random,1,yes,yes,No Risk,0.66|0.34,6fd0c1c1-b3b8-4420-9e2b-957e4265b054,04/11/20 7:38
no_checking,34,prior_payments_delayed,appliances,-877,greater_1000,4_to_7,2,female,none,2,real_estate,19,bank,own,1,skilled,1,none,yes,No Risk,0.57|0.43,f5cf696a-4db8-4065-bd2f-eee2fdbe08e4,04/11/20 7:38
0_to_200,4,credits_paid_to_date,radio_tv,8451,less_100,less_1,1,male,co-applicant,2,unknown,48,stores,own,2,skilled,1,none,yes,No Risk,0.62|0.38,929b3a32-aa61-42ba-b580-e0c55aaa0daf,04/11/20 7:38
0_to_200,12,all_credits_paid_back,business,8813,500_to_1000,1_to_4,3,male,none,4,savings_insurance,34,stores,own,1,skilled,2,none,yes,No Risk,0.65|0.35,2fb4dfeb-0d96-476a-aac9-715cc6c34a2a,04/11/20 7:38
less_0,14,prior_payments_delayed,vacation,6908,500_to_1000,greater_7,5,male,co-applicant,1,car_other,51,none,own,1,skilled,2,yes,yes,No Risk,0.58|0.42,35dc1c1c-fc8d-48a9-a1cf-7bafcc7e386c,04/11/20 7:38
no_checking,20,prior_payments_delayed,other,346,100_to_500,greater_7,3,male,none,4,car_other,38,none,own,1,skilled,1,yes,yes,No Risk,0.57|0.43,c2f584ad-590e-4e4a-b219-8a7f0888a96d,04/11/20 7:38
no_checking_random,31,credits_paid_to_date,repairs,12324,500_to_1000,1_to_4,3,male,none,4,unknown,40,none,own,1,unskilled,1,yes,yes,Risk,0.47|0.53,aa949c55-8459-49eb-86a0-81140c571ac5,04/11/20 7:38
no_checking,23,all_credits_paid_back,car_used,3481,unknown,greater_7,4,male,co-applicant,2,real_estate,19,none,free,1,skilled,1,none,yes,No Risk,0.55|0.45,dfffd64b-5282-485c-8224-66798386e1de,04/11/20 7:38
less_0,17,prior_payments_delayed,radio_tv,4477,500_to_1000,1_to_4,1,male,none,3,savings_insurance_random,30,none,own,2,management_self-employed,1,yes,yes,No Risk,0.76|0.24,450bcee9-133a-496f-b30f-c89031e4371d,04/11/20 7:38
less_0,45,credits_paid_to_date,car_new,6575,greater_1000,less_1,2,male,none,2,savings_insurance,34,none,own,1,skilled,1,none,yes,No Risk,0.76|0.24,82620d85-d7f8-43c4-b43d-30a073aaa184,04/11/20 7:38
no_checking,25,prior_payments_delayed,retraining,8503,500_to_1000,4_to_7,3,male,none,1,savings_insurance_random,48,stores,own,1,skilled,1,yes,yes,No Risk,0.65|0.35,2b482ff8-e366-4ddb-9f57-f21d92b938c9,04/11/20 7:38
no_checking,37,prior_payments_delayed,car_used,10430,100_to_500,4_to_7,2,male,none,4,car_other,32,none,own,2,unskilled,2,none,yes,No Risk,0.56|0.44,f5efb3cd-2181-44b0-bd5c-ff4c34345342,04/11/20 7:38
no_checking,36,credits_paid_to_date,radio_tv,7326,greater_1000,4_to_7,4,female,none,1,savings_insurance,19,none,rent,1,skilled,2,yes,yes,No Risk,0.52|0.48,2331357d-461d-4921-ba99-e8bc8e6dd345,04/11/20 7:38
no_checking,8,prior_payments_delayed,vacation,9565,greater_1000,4_to_7,1,female,none,3,car_other,46,none,own,1,management_self-employed,1,none,yes,No Risk,0.56|0.44,431778db-155a-48d7-9953-cb71addf19a0,04/11/20 7:38
no_checking,26,prior_payments_delayed,appliances,11045,less_100,4_to_7,2,male,none,3,unknown,23,none,own,1,skilled_random,1,none,yes,No Risk,0.56|0.44,d9117398-8114-4af2-a730-256339723307,04/11/20 7:38
less_0,4,all_credits_paid_back,retraining,12433,500_to_1000,greater_7,4,female,none,2,real_estate,43,none,own,1,skilled,1,none,yes,No Risk,0.81|0.19,f987d4af-e8d2-4eb1-b8d6-364781fd9f29,04/11/20 7:38
no_checking_random,37,credits_paid_to_date,car_new,5660,500_to_1000,1_to_4,6,male,none,1,savings_insurance,19,none,rent,2,skilled,1,none,yes,No Risk,0.73|0.27,594becbb-d2b5-4c11-897e-dd436a6461bd,04/11/20 7:38
less_0,24,credits_paid_to_date,car_new,12039,less_100,1_to_4_random,5,male,none,1,unknown,37,none,rent,2,skilled,1,none,yes,No Risk,0.65|0.35,41e94cf3-e1f1-4240-bb08-885f30798b0e,04/11/20 7:38
greater_200,26,all_credits_paid_back,car_new,10898,less_100,4_to_7,2,male,none,4,unknown,39,none,own,1,skilled,1,none,yes,No Risk,0.56|0.44,f17fa62e-7e54-4082-815e-c9a8ac592afe,04/11/20 7:38
no_checking,26,credits_paid_to_date,appliances,8277,less_100,unemployed,2,male,none,4,car_other,45,bank,own,1,unemployed,1,none,yes,No Risk,0.63|0.37,b462042f-f3f9-4f61-8abe-70a83b6700b0,04/11/20 7:38
0_to_200,4,outstanding_credit,repairs,10559,unknown,1_to_4,1,male,none,5,savings_insurance,51,none,rent,2,skilled,1,none,yes,No Risk,0.59|0.41,353b8344-c3e3-4b69-9528-2acafc3d1751,04/11/20 7:38
0_to_200,28,credits_paid_to_date,radio_tv,5428,100_to_500,greater_7,4,female,none,3,real_estate,28,none,own,1,skilled,1,yes,yes,No Risk,0.57|0.43,2b6386d9-ccf6-440c-b692-548a44f4a19a,04/11/20 7:38
no_checking,35,credits_paid_to_date,car_new,6193,500_to_1000,4_to_7,2,female,none,3,savings_insurance,20,bank,free,1,skilled,1,none,yes,Risk,0.49|0.51,ccab0d03-7311-44ad-85ba-e39172f5d4cf,04/11/20 7:38
